job_title,location,industry,skills,experience,salary_lpa,posted_date
Cloud Engineer,Chennai,HealthTech,"aws, azure, linux",1,3,2023-12-26
ML Engineer,Bangalore,E-Commerce,"ml, python, tensorflow",4,14,2024-12-30
AI Engineer,Delhi,IT,"ml, ai, python",8,16,2023-01-31
DevOps Engineer,Delhi,E-Commerce,"kubernetes, linux, aws",1,19,2023-10-26
DevOps Engineer,Pune,E-Commerce,"linux, aws, kubernetes",1,19,2024-02-19
Cyber Security Analyst,Chennai,HealthTech,"networking, security, linux",4,7,2024-06-03
Cyber Security Analyst,Pune,HealthTech,"security, linux, networking",5,16,2024-11-28
AI Engineer,Chennai,EdTech,"ml, nlp, ai",3,6,2023-02-08
Web Developer,Mumbai,IT,"javascript, html, css",5,12,2023-12-20
Business Analyst,Chennai,IT,"communication, excel, sql",6,19,2023-07-03
Cyber Security Analyst,Chennai,EdTech,"linux, networking, security",6,5,2023-06-30
Business Analyst,Hyderabad,FinTech,"excel, communication, sql",7,16,2024-06-23
DevOps Engineer,Pune,E-Commerce,"aws, kubernetes, linux",5,22,2023-06-14
Data Scientist,Bangalore,IT,"python, ml, statistics",5,25,2023-06-13
DevOps Engineer,Delhi,E-Commerce,"aws, docker, linux",1,12,2024-05-18
Software Engineer,Hyderabad,IT,"python, java, oops",2,14,2024-09-08
AI Engineer,Bangalore,FinTech,"nlp, python, ml",2,13,2023-11-18
Cloud Engineer,Bangalore,IT,"linux, azure, docker",7,22,2024-05-30
DevOps Engineer,Chennai,E-Commerce,"docker, kubernetes, linux",4,19,2024-09-27
Web Developer,Mumbai,FinTech,"css, react, javascript",0,4,2023-01-29
Cyber Security Analyst,Delhi,FinTech,"networking, linux, security",2,16,2024-09-06
DevOps Engineer,Pune,FinTech,"kubernetes, aws, docker",8,24,2024-05-27
Data Scientist,Delhi,HealthTech,"python, statistics, ml",0,13,2024-09-25
AI Engineer,Hyderabad,HealthTech,"nlp, ai, ml",4,7,2023-11-22
Web Developer,Bangalore,E-Commerce,"javascript, css, react",8,22,2024-09-11
Cyber Security Analyst,Hyderabad,EdTech,"linux, networking, security",4,12,2023-03-09
Data Analyst,Chennai,FinTech,"power bi, python, excel",4,23,2023-11-11
Data Analyst,Hyderabad,EdTech,"excel, sql, power bi",4,8,2023-03-12
Data Analyst,Pune,FinTech,"power bi, sql, python",4,14,2024-06-12
ML Engineer,Hyderabad,EdTech,"ml, tensorflow, deep learning",1,6,2024-09-16
Data Scientist,Delhi,EdTech,"python, statistics, sql",7,13,2024-02-12
ML Engineer,Mumbai,HealthTech,"deep learning, ml, python",7,10,2023-11-11
DevOps Engineer,Delhi,E-Commerce,"kubernetes, docker, aws",6,4,2023-05-04
Cyber Security Analyst,Pune,IT,"security, linux, networking",7,25,2024-07-14
Data Analyst,Pune,FinTech,"excel, power bi, sql",2,16,2023-10-24
Business Analyst,Bangalore,FinTech,"sql, excel, communication",8,9,2023-10-17
Data Analyst,Delhi,HealthTech,"power bi, python, excel",2,17,2023-03-16
Data Scientist,Pune,E-Commerce,"statistics, sql, python",7,18,2024-04-13
ML Engineer,Chennai,HealthTech,"deep learning, tensorflow, python",5,24,2023-08-14
Web Developer,Hyderabad,IT,"react, html, css",3,14,2024-10-28
AI Engineer,Bangalore,EdTech,"python, ai, ml",4,6,2023-11-12
AI Engineer,Chennai,E-Commerce,"ai, python, nlp",0,23,2023-01-04
ML Engineer,Hyderabad,EdTech,"ml, python, deep learning",3,25,2023-05-03
Business Analyst,Pune,IT,"communication, sql, excel",6,25,2023-12-02
Cyber Security Analyst,Chennai,EdTech,"security, linux, networking",6,11,2024-06-16
Cyber Security Analyst,Hyderabad,FinTech,"linux, networking, security",7,24,2023-02-12
Web Developer,Delhi,FinTech,"css, javascript, react",0,23,2024-06-26
Business Analyst,Delhi,FinTech,"sql, excel, communication",0,15,2023-10-12
Data Analyst,Delhi,FinTech,"power bi, python, sql",1,14,2024-09-21
ML Engineer,Delhi,HealthTech,"python, tensorflow, ml",5,12,2023-01-06
Cloud Engineer,Mumbai,FinTech,"azure, linux, docker",4,24,2023-10-21
Data Scientist,Hyderabad,IT,"ml, statistics, python",2,20,2023-04-24
Data Scientist,Mumbai,EdTech,"sql, python, statistics",6,13,2024-05-05
Data Scientist,Pune,FinTech,"ml, sql, python",6,21,2023-04-12
AI Engineer,Hyderabad,EdTech,"ai, nlp, python",0,18,2024-12-28
Cyber Security Analyst,Hyderabad,HealthTech,"security, linux, networking",8,6,2023-10-21
Cyber Security Analyst,Delhi,HealthTech,"security, linux, networking",7,5,2024-07-17
Data Analyst,Mumbai,FinTech,"sql, python, excel",2,19,2023-09-19
DevOps Engineer,Hyderabad,HealthTech,"kubernetes, aws, docker",6,15,2024-07-14
AI Engineer,Hyderabad,HealthTech,"python, nlp, ai",2,24,2024-12-16
Data Scientist,Pune,EdTech,"python, sql, statistics",2,19,2023-12-30
Business Analyst,Bangalore,FinTech,"excel, sql, communication",8,17,2023-08-13
Business Analyst,Chennai,E-Commerce,"sql, communication, excel",1,19,2024-08-18
Cloud Engineer,Hyderabad,E-Commerce,"linux, docker, aws",0,13,2023-09-10
Software Engineer,Hyderabad,E-Commerce,"oops, sql, python",0,9,2023-09-28
Business Analyst,Pune,IT,"excel, communication, sql",8,4,2023-01-26
Data Analyst,Chennai,EdTech,"excel, python, power bi",1,22,2023-05-14
Business Analyst,Delhi,HealthTech,"communication, excel, sql",6,16,2023-10-09
Software Engineer,Delhi,E-Commerce,"oops, python, java",8,8,2023-03-21
Cyber Security Analyst,Bangalore,EdTech,"networking, security, linux",5,5,2024-03-04
Business Analyst,Mumbai,EdTech,"excel, sql, communication",1,17,2024-12-06
Data Scientist,Delhi,E-Commerce,"sql, python, statistics",3,21,2023-09-27
DevOps Engineer,Mumbai,FinTech,"docker, linux, kubernetes",7,12,2023-08-25
Data Scientist,Bangalore,FinTech,"ml, statistics, sql",1,23,2023-10-29
Data Analyst,Hyderabad,FinTech,"excel, python, power bi",3,10,2023-11-08
AI Engineer,Bangalore,HealthTech,"python, ml, ai",1,8,2024-08-27
Data Scientist,Chennai,EdTech,"ml, python, statistics",5,14,2023-11-30
Software Engineer,Pune,E-Commerce,"oops, sql, python",7,19,2023-10-17
Software Engineer,Pune,E-Commerce,"java, python, sql",8,3,2023-11-11
Data Analyst,Mumbai,HealthTech,"power bi, excel, sql",4,12,2023-10-25
AI Engineer,Bangalore,EdTech,"ml, python, nlp",2,7,2024-01-29
Cloud Engineer,Mumbai,HealthTech,"azure, aws, docker",1,23,2023-01-26
AI Engineer,Delhi,E-Commerce,"ml, python, ai",0,17,2023-07-01
Data Scientist,Hyderabad,EdTech,"python, sql, statistics",4,23,2024-04-19
AI Engineer,Mumbai,EdTech,"python, ai, ml",8,4,2023-12-10
Web Developer,Bangalore,HealthTech,"html, react, css",0,20,2023-04-01
ML Engineer,Chennai,FinTech,"deep learning, ml, python",1,12,2024-06-15
Data Analyst,Hyderabad,E-Commerce,"sql, power bi, excel",7,7,2023-10-02
ML Engineer,Delhi,IT,"ml, tensorflow, python",1,24,2024-06-29
Cloud Engineer,Pune,EdTech,"linux, azure, aws",5,3,2024-01-26
Web Developer,Hyderabad,FinTech,"html, react, javascript",3,15,2023-11-19
DevOps Engineer,Mumbai,HealthTech,"docker, linux, kubernetes",3,8,2023-09-01
DevOps Engineer,Mumbai,E-Commerce,"linux, kubernetes, aws",0,4,2024-06-14
AI Engineer,Chennai,E-Commerce,"ml, python, ai",3,14,2024-06-30
Web Developer,Mumbai,EdTech,"html, react, css",0,11,2024-09-15
Cyber Security Analyst,Chennai,IT,"networking, linux, security",2,18,2023-01-08
AI Engineer,Pune,EdTech,"ai, python, ml",7,11,2023-06-16
ML Engineer,Delhi,HealthTech,"tensorflow, deep learning, ml",1,3,2023-12-21
Software Engineer,Chennai,FinTech,"python, java, oops",4,8,2024-02-11
Data Scientist,Pune,IT,"sql, ml, python",7,19,2023-03-25
Cyber Security Analyst,Bangalore,EdTech,"networking, linux, security",3,17,2024-07-16
ML Engineer,Delhi,IT,"ml, tensorflow, deep learning",2,15,2024-08-07
Business Analyst,Chennai,FinTech,"excel, sql, communication",1,17,2023-01-23
ML Engineer,Hyderabad,HealthTech,"tensorflow, deep learning, ml",1,14,2023-01-31
DevOps Engineer,Bangalore,FinTech,"linux, aws, kubernetes",5,23,2024-05-18
Data Analyst,Mumbai,EdTech,"excel, sql, python",5,21,2024-11-26
Data Analyst,Bangalore,IT,"python, power bi, sql",3,17,2024-01-30
Web Developer,Bangalore,EdTech,"react, html, javascript",5,16,2023-12-08
Cloud Engineer,Hyderabad,E-Commerce,"azure, linux, docker",6,23,2024-02-14
Data Analyst,Chennai,EdTech,"python, power bi, excel",0,18,2024-12-03
Software Engineer,Delhi,FinTech,"java, oops, sql",8,16,2023-02-23
DevOps Engineer,Pune,FinTech,"aws, kubernetes, linux",7,20,2024-07-08
ML Engineer,Chennai,E-Commerce,"deep learning, python, ml",2,5,2024-10-03
Cloud Engineer,Bangalore,E-Commerce,"linux, aws, docker",3,23,2024-05-28
Business Analyst,Hyderabad,EdTech,"excel, communication, sql",1,7,2024-07-17
ML Engineer,Delhi,E-Commerce,"deep learning, tensorflow, python",8,7,2024-05-22
Data Scientist,Delhi,EdTech,"statistics, sql, ml",5,13,2023-02-23
ML Engineer,Hyderabad,HealthTech,"ml, deep learning, python",1,7,2023-05-08
ML Engineer,Delhi,FinTech,"deep learning, python, tensorflow",4,18,2023-03-07
Cyber Security Analyst,Mumbai,EdTech,"linux, security, networking",7,18,2023-12-28
ML Engineer,Bangalore,HealthTech,"tensorflow, ml, deep learning",8,5,2023-01-28
DevOps Engineer,Pune,HealthTech,"docker, aws, linux",5,5,2024-07-22
DevOps Engineer,Chennai,FinTech,"aws, linux, docker",5,8,2023-02-07
Data Scientist,Pune,IT,"sql, python, statistics",0,9,2023-12-09
Software Engineer,Delhi,E-Commerce,"java, python, sql",5,7,2024-05-29
Software Engineer,Delhi,IT,"java, oops, sql",8,20,2023-07-21
DevOps Engineer,Hyderabad,FinTech,"linux, aws, docker",4,14,2024-08-23
Cloud Engineer,Hyderabad,E-Commerce,"docker, aws, linux",2,14,2024-05-27
AI Engineer,Mumbai,EdTech,"ai, python, nlp",5,23,2023-01-29
Data Scientist,Delhi,IT,"ml, sql, python",6,8,2023-06-07
DevOps Engineer,Mumbai,IT,"kubernetes, aws, docker",2,6,2023-04-01
Data Analyst,Chennai,EdTech,"excel, sql, power bi",5,17,2023-02-13
Data Analyst,Delhi,HealthTech,"excel, sql, python",4,22,2023-06-26
Cyber Security Analyst,Mumbai,E-Commerce,"security, networking, linux",6,19,2024-01-12
ML Engineer,Bangalore,FinTech,"deep learning, ml, python",0,19,2023-11-23
Software Engineer,Pune,HealthTech,"java, oops, python",2,19,2024-04-09
DevOps Engineer,Pune,E-Commerce,"docker, kubernetes, aws",6,4,2023-06-03
DevOps Engineer,Chennai,EdTech,"aws, linux, kubernetes",4,25,2023-07-12
Cyber Security Analyst,Mumbai,EdTech,"linux, networking, security",8,4,2023-08-08
Data Analyst,Chennai,IT,"excel, power bi, python",0,8,2023-08-20
Data Analyst,Pune,HealthTech,"sql, excel, power bi",5,4,2024-08-31
AI Engineer,Bangalore,HealthTech,"nlp, ml, ai",5,24,2024-04-08
Data Analyst,Delhi,EdTech,"excel, sql, power bi",7,13,2023-02-27
DevOps Engineer,Delhi,E-Commerce,"linux, docker, aws",7,15,2023-04-10
ML Engineer,Bangalore,E-Commerce,"ml, python, deep learning",3,9,2024-07-21
Data Analyst,Bangalore,HealthTech,"sql, python, excel",8,18,2023-06-28
Data Analyst,Pune,EdTech,"power bi, python, sql",1,7,2024-08-12
Cyber Security Analyst,Bangalore,FinTech,"security, linux, networking",1,9,2024-10-06
Software Engineer,Delhi,HealthTech,"sql, oops, python",4,25,2023-09-29
Cyber Security Analyst,Pune,HealthTech,"networking, security, linux",8,24,2023-06-08
Cloud Engineer,Hyderabad,E-Commerce,"azure, linux, aws",0,4,2024-01-03
Software Engineer,Hyderabad,HealthTech,"python, oops, java",5,19,2024-02-13
Data Scientist,Bangalore,EdTech,"python, sql, ml",6,13,2023-10-03
Data Analyst,Chennai,IT,"sql, python, power bi",8,5,2023-06-03
Software Engineer,Hyderabad,HealthTech,"oops, java, sql",7,10,2024-07-04
ML Engineer,Delhi,IT,"ml, tensorflow, python",1,17,2023-07-03
Cloud Engineer,Pune,HealthTech,"docker, linux, aws",3,7,2023-02-12
AI Engineer,Hyderabad,EdTech,"ai, nlp, ml",0,21,2023-09-01
Cloud Engineer,Pune,HealthTech,"aws, azure, linux",3,5,2023-06-22
Cyber Security Analyst,Delhi,IT,"security, networking, linux",5,17,2023-07-17
