job_title,location,industry,skills,experience,salary_lpa,posted_date,demand_score,demand_label
Cloud Engineer,Chennai,HealthTech,"aws, azure, linux",1,3,2023-12-26,121,Medium
ML Engineer,Bangalore,E-Commerce,"ml, python, tensorflow",4,14,2024-12-30,138,High
AI Engineer,Delhi,IT,"ml, ai, python",8,16,2023-01-31,120,Medium
DevOps Engineer,Delhi,E-Commerce,"kubernetes, linux, aws",1,19,2023-10-26,125,High
DevOps Engineer (Remote),Pune,E-Commerce,"linux, aws, kubernetes",1,19,2024-02-19,125,High
Cyber Security Analyst (Remote),Chennai,HealthTech,"networking, security, linux",4,7,2024-06-03,127,High
Cyber Security Analyst (Remote),Pune,HealthTech,"security, linux, networking",5,16,2024-11-28,127,High
AI Engineer,Chennai,EdTech,"ml, nlp, ai",3,6,2023-02-08,120,Medium
Web Developer,Mumbai,IT,"javascript, html, css",5,12,2023-12-20,112,Low
Business Analyst,Chennai,IT,"communication, excel, sql",6,19,2023-07-03,114,Low
Cyber Security Analyst (Remote),Chennai,EdTech,"linux, networking, security",6,5,2023-06-30,127,High
Business Analyst,Hyderabad,FinTech,"excel, communication, sql",7,16,2024-06-23,114,Low
DevOps Engineer,Pune,E-Commerce,"aws, kubernetes, linux",5,22,2023-06-14,125,High
Data Scientist (Remote),Bangalore,IT,"python, ml, statistics",5,25,2023-06-13,114,Low
DevOps Engineer (Remote),Delhi,E-Commerce,"aws, docker, linux",1,12,2024-05-18,125,High
Software Engineer (Remote),Hyderabad,IT,"python, java, oops",2,14,2024-09-08,115,Medium
AI Engineer (Remote),Bangalore,FinTech,"nlp, python, ml",2,13,2023-11-18,120,Medium
Cloud Engineer,Bangalore,IT,"linux, azure, docker",7,22,2024-05-30,121,Medium
DevOps Engineer,Chennai,E-Commerce,"docker, kubernetes, linux",4,19,2024-09-27,125,High
Web Developer (Remote),Mumbai,FinTech,"css, react, javascript",0,4,2023-01-29,112,Low
Cyber Security Analyst,Delhi,FinTech,"networking, linux, security",2,16,2024-09-06,127,High
DevOps Engineer (Remote),Pune,FinTech,"kubernetes, aws, docker",8,24,2024-05-27,125,High
Data Scientist (Remote),Delhi,HealthTech,"python, statistics, ml",0,13,2024-09-25,114,Low
AI Engineer,Hyderabad,HealthTech,"nlp, ai, ml",4,7,2023-11-22,120,Medium
Web Developer,Bangalore,E-Commerce,"javascript, css, react",8,22,2024-09-11,112,Low
Cyber Security Analyst,Hyderabad,EdTech,"linux, networking, security",4,12,2023-03-09,127,High
Data Analyst (Remote),Chennai,FinTech,"power bi, python, excel",4,23,2023-11-11,114,Low
Data Analyst,Hyderabad,EdTech,"excel, sql, power bi",4,8,2023-03-12,114,Low
Data Analyst,Pune,FinTech,"power bi, sql, python",4,14,2024-06-12,114,Low
ML Engineer (Remote),Hyderabad,EdTech,"ml, tensorflow, deep learning",1,6,2024-09-16,138,High
Data Scientist,Delhi,EdTech,"python, statistics, sql",7,13,2024-02-12,114,Low
ML Engineer (Remote),Mumbai,HealthTech,"deep learning, ml, python",7,10,2023-11-11,138,High
DevOps Engineer (Remote),Delhi,E-Commerce,"kubernetes, docker, aws",6,4,2023-05-04,125,High
Cyber Security Analyst,Pune,IT,"security, linux, networking",7,25,2024-07-14,127,High
Data Analyst,Pune,FinTech,"excel, power bi, sql",2,16,2023-10-24,114,Low
Business Analyst,Bangalore,FinTech,"sql, excel, communication",8,9,2023-10-17,114,Low
Data Analyst (Remote),Delhi,HealthTech,"power bi, python, excel",2,17,2023-03-16,114,Low
Data Scientist (Remote),Pune,E-Commerce,"statistics, sql, python",7,18,2024-04-13,114,Low
ML Engineer,Chennai,HealthTech,"deep learning, tensorflow, python",5,24,2023-08-14,138,High
Web Developer,Hyderabad,IT,"react, html, css",3,14,2024-10-28,112,Low
AI Engineer (Remote),Bangalore,EdTech,"python, ai, ml",4,6,2023-11-12,120,Medium
AI Engineer,Chennai,E-Commerce,"ai, python, nlp",0,23,2023-01-04,120,Medium
ML Engineer (Remote),Hyderabad,EdTech,"ml, python, deep learning",3,25,2023-05-03,138,High
